207.46.13.107 - - [08/Apr/2019:00:18:53 +0200] "GET /segel-grundkurs HTTP/1.1" 200 6076
216.244.66.248 - - [08/Apr/2019:00:22:07 +0200] "GET /var/m_0/0d/0dd/12455/9114386-g6_SSL_Davos2017_11.jpg HTTP/1.1" 200 98791
46.229.168.144 - - [08/Apr/2019:00:23:39 +0200] "GET /smartkat-trophy-2018-copy.shtml HTTP/1.1" 200 5884
46.229.168.129 - - [08/Apr/2019:00:23:39 +0200] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [08/Apr/2019:00:23:49 +0200] "GET /robots.txt HTTP/1.1" 301 617
17.58.99.196 - - [08/Apr/2019:00:23:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [08/Apr/2019:00:23:50 +0200] "GET /davosersee.shtml HTTP/1.1" 301 617
17.58.99.196 - - [08/Apr/2019:00:23:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
17.58.99.196 - - [08/Apr/2019:00:23:51 +0200] "GET /davosersee.shtml HTTP/1.1" 200 6363
142.93.189.252 - - [08/Apr/2019:00:28:11 +0200] "GET / HTTP/1.0" 200 37155
216.244.66.248 - - [08/Apr/2019:00:33:07 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:00:33:08 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:00:33:09 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [08/Apr/2019:00:33:09 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.29 - - [08/Apr/2019:00:42:52 +0200] "GET /galerie-matchracing HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:01:09:50 +0200] "GET /var/m_0/0d/0dd/12455/9114389-g6_SSL_Davos2017_12.jpg HTTP/1.1" 200 94416
216.244.66.248 - - [08/Apr/2019:01:19:49 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:01:19:50 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.41 - - [08/Apr/2019:01:41:19 +0200] "GET /events.shtml HTTP/1.1" 200 6281
216.244.66.248 - - [08/Apr/2019:01:59:33 +0200] "GET /gallery/displayimage.php?album=2&pos=9 HTTP/1.1" 404 222
216.244.66.248 - - [08/Apr/2019:01:59:40 +0200] "GET /gallery/displayimage.php?album=4&pos=50 HTTP/1.1" 404 222
46.118.157.179 - - [08/Apr/2019:02:04:22 +0200] "GET / HTTP/1.1" 301 617
157.55.39.23 - - [08/Apr/2019:02:06:27 +0200] "GET /robots.txt HTTP/1.1" 301 617
157.55.39.23 - - [08/Apr/2019:02:06:28 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.189 - - [08/Apr/2019:02:06:33 +0200] "GET /optikurse-2014 HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:02:06:38 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:02:06:38 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:02:06:39 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [08/Apr/2019:02:06:40 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [08/Apr/2019:02:28:58 +0200] "GET /var/m_0/0d/0dd/12455/9564482-Corsaire_0003.w1024.JPG HTTP/1.1" 200 138632
216.244.66.248 - - [08/Apr/2019:02:29:07 +0200] "GET /var/m_0/0d/0dd/12455/9564503-Corsaire_0010.w1024.JPG HTTP/1.1" 200 125120
40.77.167.106 - - [08/Apr/2019:02:31:14 +0200] "GET /index.php HTTP/1.1" 302 0
207.46.13.189 - - [08/Apr/2019:02:38:15 +0200] "GET /kurse HTTP/1.1" 200 7487
40.77.167.106 - - [08/Apr/2019:02:50:28 +0200] "GET /galerie-sktrophy-2015 HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:02:53:43 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [08/Apr/2019:02:53:45 +0200] "GET /robots.txt HTTP/1.1" 200 120
