3.84.228.228 - - [06/May/2019:21:15:42 +0200] "GET /ads.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/May/2019:21:19:13 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [06/May/2019:21:19:28 +0200] "GET /robots.txt HTTP/1.1" 301 617
106.38.241.102 - - [06/May/2019:21:22:36 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1463484701 HTTP/1.1" 301 617
106.38.241.102 - - [06/May/2019:21:22:56 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1463484701 HTTP/1.1" 200 908
46.229.168.137 - - [06/May/2019:21:33:20 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.161 - - [06/May/2019:21:33:37 +0200] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 6512
85.1.176.45 - - [06/May/2019:21:53:52 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5116
85.1.176.45 - - [06/May/2019:21:53:53 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4633
85.1.176.45 - - [06/May/2019:21:53:55 +0200] "GET /templates/resellers/7/favicon.ico?v=1553518171 HTTP/1.1" 200 4286
85.1.176.45 - - [06/May/2019:21:53:55 +0200] "GET /vermietung.shtml HTTP/1.1" 200 5087
85.1.176.45 - - [06/May/2019:21:53:57 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 4633
85.1.176.45 - - [06/May/2019:21:54:10 +0200] "GET /apple-touch-icon.png HTTP/1.1" 404 4633
85.1.176.45 - - [06/May/2019:21:54:12 +0200] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 4633
85.1.176.45 - - [06/May/2019:21:54:15 +0200] "GET /templates/resellers/7/favicon.ico?v=1553522433 HTTP/1.1" 200 4286
216.244.66.248 - - [06/May/2019:22:04:28 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [06/May/2019:22:04:30 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.197 - - [06/May/2019:22:11:21 +0200] "GET /var/m_0/0d/0dd/12455/8288159-EWD_rgb_pos.jpg HTTP/1.1" 200 207458
207.46.13.197 - - [06/May/2019:22:11:36 +0200] "GET /var/m_0/0d/0dd/12455/8288159-EWD_rgb_pos.jpg HTTP/1.1" 301 617
207.46.13.197 - - [06/May/2019:22:36:32 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 5618
216.244.66.248 - - [06/May/2019:22:49:59 +0200] "GET /robots.txt HTTP/1.1" 301 617
66.249.66.74 - - [06/May/2019:22:52:44 +0200] "GET /js/functions_stripped.js?v=6.9.42201 HTTP/1.1" 200 2972
40.77.167.25 - - [06/May/2019:22:55:41 +0200] "GET /galerie-gruppesmartkat HTTP/1.1" 301 617
35.222.65.93 - - [06/May/2019:22:56:10 +0200] "GET /robots.txt HTTP/1.1" 301 617
35.222.65.93 - - [06/May/2019:22:56:27 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [06/May/2019:23:35:05 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [06/May/2019:23:35:19 +0200] "GET /robots.txt HTTP/1.1" 301 617
