66.249.66.156 - - [08/May/2019:00:06:48 +0200] "GET /segel-grundkurs HTTP/1.1" 200 5346
216.244.66.248 - - [08/May/2019:00:10:27 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [08/May/2019:00:10:35 +0200] "GET /robots.txt HTTP/1.1" 301 617
40.77.167.93 - - [08/May/2019:00:17:54 +0200] "GET /kurse HTTP/1.1" 200 7497
148.251.182.79 - - [08/May/2019:00:44:57 +0200] "GET /smartkat-trophy-2015-copy.shtml HTTP/1.1" 200 5860
148.251.182.79 - - [08/May/2019:00:45:02 +0200] "GET /robots.txt HTTP/1.1" 200 120
148.251.182.79 - - [08/May/2019:00:45:02 +0200] "GET /smartkat-trophy-2018-copy.shtml HTTP/1.1" 200 5878
148.251.182.79 - - [08/May/2019:00:45:03 +0200] "GET /galerie.shtml HTTP/1.1" 200 6125
148.251.182.79 - - [08/May/2019:00:45:13 +0200] "GET /vermietung.shtml HTTP/1.1" 200 6044
148.251.182.79 - - [08/May/2019:00:45:31 +0200] "GET /events.shtml HTTP/1.1" 200 6299
148.251.182.79 - - [08/May/2019:00:45:34 +0200] "GET /kurse.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:45:36 +0200] "GET /davosersee.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:45:56 +0200] "GET /davosersee.shtml HTTP/1.1" 200 6379
148.251.182.79 - - [08/May/2019:00:46:00 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:01 +0200] "GET /kinder-segelkurs.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:05 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:06 +0200] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:15 +0200] "GET /vermietung.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:22 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:25 +0200] "GET /galerie.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:27 +0200] "GET /flotte.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:30 +0200] "GET /smartkat-trophy-2018-copy.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:41 +0200] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:46 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:47 +0200] "GET /smartkat-trophy-2015-copy.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:56 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:46:56 +0200] "GET /standort.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:47:02 +0200] "GET /%C3%BCber-uns.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:47:06 +0200] "GET /galerie-sktrophy-2014.shtml HTTP/1.1" 200 5837
148.251.182.79 - - [08/May/2019:00:47:17 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 301 617
148.251.182.79 - - [08/May/2019:00:47:22 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 6107
148.251.182.79 - - [08/May/2019:00:47:27 +0200] "GET /optikurse-2014.shtml HTTP/1.1" 200 5692
148.251.182.79 - - [08/May/2019:00:47:28 +0200] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 5629
148.251.182.79 - - [08/May/2019:00:47:32 +0200] "GET /pruefungskurs.shtml HTTP/1.1" 200 6700
148.251.182.79 - - [08/May/2019:00:47:37 +0200] "GET /%C3%83%C2%BCber-uns.shtml HTTP/1.1" 404 5526
148.251.182.79 - - [08/May/2019:00:47:44 +0200] "GET /standort.shtml HTTP/1.1" 200 6139
148.251.182.79 - - [08/May/2019:00:47:48 +0200] "GET /flotte.shtml HTTP/1.1" 200 7413
148.251.182.79 - - [08/May/2019:00:48:05 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 12146
148.251.182.79 - - [08/May/2019:00:48:10 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 5395
148.251.182.79 - - [08/May/2019:00:48:20 +0200] "GET /robots.txt HTTP/1.1" 301 617
