157.55.39.73 - - [19/Jul/2019:06:01:51 +0200] "GET /index.php?option=com_content&task=view&id=41&Itemid=99 HTTP/1.1" 301 617
216.244.66.248 - - [19/Jul/2019:06:07:33 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [19/Jul/2019:06:07:34 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.8 - - [19/Jul/2019:06:46:11 +0200] "GET /index.php?option=com_content&task=view&id=33&Itemid=85 HTTP/1.1" 301 617
216.244.66.248 - - [19/Jul/2019:06:53:22 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [19/Jul/2019:06:53:36 +0200] "GET /robots.txt HTTP/1.1" 301 617
88.130.63.193 - - [19/Jul/2019:06:58:05 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
80.219.120.31 - - [19/Jul/2019:07:13:20 +0200] "GET / HTTP/1.1" 200 6999
216.244.66.248 - - [19/Jul/2019:07:39:33 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [19/Jul/2019:07:39:34 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.132 - - [19/Jul/2019:07:39:55 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.145 - - [19/Jul/2019:07:39:56 +0200] "GET /davosersee HTTP/1.1" 200 6682
216.244.66.248 - - [19/Jul/2019:07:52:17 +0200] "GET /var/m_0/0d/0dd/12455/9777110-FB2019_16_Lu-aab32.w1024.jpg HTTP/1.1" 200 147100
193.43.158.225 - - [19/Jul/2019:07:56:25 +0200] "GET /var/m_0/0d/0dd/12455/125498-31_Sprinto.JPG HTTP/1.1" 200 60889
54.36.148.184 - - [19/Jul/2019:07:56:51 +0200] "GET /var/m_0/0d/0dd/12455/143505-G1_SKT2014_27.JPG HTTP/1.1" 301 617
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /davosersee HTTP/1.1" 200 5856
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /templates/resellers/7/favicon.ico?v=1562955840 HTTP/1.1" 200 4286
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /css/widgets/concat_widget.min.css?v=7.1.44342 HTTP/1.1" 200 22418
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
85.0.151.168 - - [19/Jul/2019:08:09:29 +0200] "GET /js/bundles/front_bundle.min.js?v=7.1.44342 HTTP/1.1" 200 46180
85.0.151.168 - - [19/Jul/2019:08:09:44 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
85.0.151.168 - - [19/Jul/2019:08:09:44 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
85.0.151.168 - - [19/Jul/2019:08:09:45 +0200] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
85.0.151.168 - - [19/Jul/2019:08:10:59 +0200] "GET /kurse.shtml HTTP/1.1" 200 6694
85.0.151.168 - - [19/Jul/2019:08:10:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
85.0.151.168 - - [19/Jul/2019:08:10:59 +0200] "GET /var/m_0/0d/0dd/12455/125487-3_SKCrashkurs.JPG HTTP/1.1" 200 80503
85.0.151.168 - - [19/Jul/2019:08:10:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
85.0.151.168 - - [19/Jul/2019:08:10:59 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
