46.229.168.153 - - [26/Aug/2019:15:01:15 +0200] "GET /segel-grundkurs.shtml HTTP/1.1" 200 6346
207.46.13.122 - - [26/Aug/2019:15:21:56 +0200] "GET /var/m_0/0d/0dd/12455/8019892-52_Segellehrer_2.JPG HTTP/1.1" 200 211038
207.46.13.122 - - [26/Aug/2019:15:21:58 +0200] "GET /var/m_0/0d/0dd/12455/8019892-52_Segellehrer_2.JPG HTTP/1.1" 301 617
157.55.39.23 - - [26/Aug/2019:15:27:03 +0200] "GET /robots.txt HTTP/1.1" 301 617
207.46.13.122 - - [26/Aug/2019:15:27:10 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 200 191999
157.55.39.23 - - [26/Aug/2019:15:27:34 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.122 - - [26/Aug/2019:15:27:37 +0200] "GET /var/m_0/0d/0dd/12455/8254793-J70_Davos.w1024.jpg HTTP/1.1" 301 617
40.77.167.71 - - [26/Aug/2019:15:27:56 +0200] "GET /segel-grundkurs HTTP/1.1" 301 617
216.244.66.248 - - [26/Aug/2019:15:30:21 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [26/Aug/2019:15:30:23 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.118.157.251 - - [26/Aug/2019:15:55:24 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:55:24 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:55:27 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:55:52 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:55:54 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:55:54 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:55:54 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:56:19 +0200] "GET / HTTP/1.1" 301 617
46.118.157.251 - - [26/Aug/2019:15:56:20 +0200] "GET / HTTP/1.1" 301 617
157.55.39.24 - - [26/Aug/2019:15:56:33 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.119 - - [26/Aug/2019:15:56:51 +0200] "GET /js/bundles/front_bundle.min.js?v=7.2.44561 HTTP/1.1" 200 56683
157.55.39.24 - - [26/Aug/2019:15:57:05 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.122 - - [26/Aug/2019:15:57:07 +0200] "GET /event-gruppesmartkat HTTP/1.1" 200 6784
84.74.138.196 - - [26/Aug/2019:16:04:20 +0200] "GET /kurse HTTP/1.1" 200 6693
84.74.138.196 - - [26/Aug/2019:16:04:24 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
46.118.158.201 - - [26/Aug/2019:16:05:59 +0200] "GET / HTTP/1.1" 301 617
46.118.158.201 - - [26/Aug/2019:16:06:30 +0200] "GET / HTTP/1.1" 301 617
46.118.158.201 - - [26/Aug/2019:16:06:30 +0200] "GET / HTTP/1.1" 301 617
84.74.138.196 - - [26/Aug/2019:16:07:01 +0200] "GET / HTTP/1.1" 200 7026
84.74.138.196 - - [26/Aug/2019:16:07:04 +0200] "GET /kurse HTTP/1.1" 200 6691
84.74.138.196 - - [26/Aug/2019:16:07:04 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
84.74.138.196 - - [26/Aug/2019:16:07:05 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
216.244.66.248 - - [26/Aug/2019:16:15:31 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [26/Aug/2019:16:15:37 +0200] "GET /robots.txt HTTP/1.1" 200 120
83.228.230.91 - - [26/Aug/2019:16:29:18 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
83.228.230.91 - - [26/Aug/2019:16:29:18 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
83.228.230.91 - - [26/Aug/2019:16:29:18 +0200] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
83.228.230.91 - - [26/Aug/2019:16:29:19 +0200] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
83.228.230.91 - - [26/Aug/2019:16:29:19 +0200] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
83.228.230.91 - - [26/Aug/2019:16:29:19 +0200] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
83.228.230.91 - - [26/Aug/2019:16:29:19 +0200] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
83.228.230.91 - - [26/Aug/2019:16:29:20 +0200] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
83.228.230.91 - - [26/Aug/2019:16:29:22 +0200] "GET / HTTP/1.1" 200 7081
83.228.230.91 - - [26/Aug/2019:16:29:22 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
83.228.230.91 - - [26/Aug/2019:16:29:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
83.228.230.91 - - [26/Aug/2019:16:29:22 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
83.228.230.91 - - [26/Aug/2019:16:29:22 +0200] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
83.228.230.91 - - [26/Aug/2019:16:29:22 +0200] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
83.228.230.91 - - [26/Aug/2019:16:29:23 +0200] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
83.228.230.91 - - [26/Aug/2019:16:29:49 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
83.228.230.91 - - [26/Aug/2019:16:29:49 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
83.228.230.91 - - [26/Aug/2019:16:29:49 +0200] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
83.228.230.91 - - [26/Aug/2019:16:29:49 +0200] "GET /js/bundles/front_bundle.min.js?v=7.2.44561 HTTP/1.1" 200 46210
83.228.230.91 - - [26/Aug/2019:16:29:50 +0200] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
83.228.230.91 - - [26/Aug/2019:16:29:50 +0200] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
83.228.230.91 - - [26/Aug/2019:16:29:51 +0200] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
83.228.230.91 - - [26/Aug/2019:16:29:51 +0200] "GET /templates/resellers/7/favicon.ico?v=1566125647 HTTP/1.1" 200 4286
83.228.230.91 - - [26/Aug/2019:16:29:57 +0200] "GET /var/m_0/0d/0dd/12455/9777128-Strandbad19-c9f0f.w1024.jpg HTTP/1.1" 200 121071
83.228.230.91 - - [26/Aug/2019:16:30:01 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
83.228.230.91 - - [26/Aug/2019:16:30:01 +0200] "GET /var/m_0/0d/0dd/12455/9777137-Stege2019-c51ce.w1024.jpg HTTP/1.1" 200 117474
83.228.230.91 - - [26/Aug/2019:16:30:28 +0200] "GET /standort.shtml HTTP/1.1" 200 5867
83.228.230.91 - - [26/Aug/2019:16:30:29 +0200] "GET /templates/resellers/7/favicon.ico?v=1566135461 HTTP/1.1" 200 4286
207.46.13.119 - - [26/Aug/2019:16:34:13 +0200] "GET /index.php?option=com_content&task=view&id=34&Itemid=87 HTTP/1.1" 301 617
192.99.55.164 - - [26/Aug/2019:16:39:32 +0200] "GET / HTTP/1.1" 200 8284
192.99.55.164 - - [26/Aug/2019:16:39:35 +0200] "GET / HTTP/1.1" 301 617
192.99.55.164 - - [26/Aug/2019:16:40:03 +0200] "GET / HTTP/1.1" 200 8290
192.99.55.164 - - [26/Aug/2019:16:40:04 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [26/Aug/2019:17:00:46 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [26/Aug/2019:17:00:51 +0200] "GET /robots.txt HTTP/1.1" 200 120
8.37.70.88 - - [26/Aug/2019:17:02:38 +0200] "GET /robots.txt HTTP/1.1" 301 617
8.37.70.88 - - [26/Aug/2019:17:02:39 +0200] "GET /robots.txt HTTP/1.1" 200 120
8.37.70.88 - - [26/Aug/2019:17:02:39 +0200] "GET / HTTP/1.1" 200 8284
8.37.70.88 - - [26/Aug/2019:17:03:10 +0200] "GET / HTTP/1.1" 301 617
84.74.138.196 - - [26/Aug/2019:17:03:47 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
84.74.138.196 - - [26/Aug/2019:17:03:50 +0200] "GET / HTTP/1.1" 200 7026
84.74.138.196 - - [26/Aug/2019:17:09:13 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
84.74.138.196 - - [26/Aug/2019:17:09:16 +0200] "GET / HTTP/1.1" 200 7026
146.4.22.190 - - [26/Aug/2019:17:14:31 +0200] "GET / HTTP/1.1" 200 8284
54.36.148.151 - - [26/Aug/2019:17:14:34 +0200] "GET /vermietung HTTP/1.1" 200 6319
54.36.149.98 - - [26/Aug/2019:17:14:36 +0200] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.130 - - [26/Aug/2019:17:15:00 +0200] "GET /%C3%BCber-uns HTTP/1.1" 200 6002
146.4.22.190 - - [26/Aug/2019:17:15:02 +0200] "GET / HTTP/1.1" 301 617
46.229.168.148 - - [26/Aug/2019:17:15:03 +0200] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.119 - - [26/Aug/2019:17:22:31 +0200] "GET /index.php?option=com_content&task=view&id=41&Itemid=99 HTTP/1.1" 301 617
46.126.195.62 - - [26/Aug/2019:17:34:54 +0200] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
46.126.195.62 - - [26/Aug/2019:17:34:54 +0200] "GET /css/skeleton.css HTTP/1.1" 200 3291
46.126.195.62 - - [26/Aug/2019:17:34:54 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
46.126.195.62 - - [26/Aug/2019:17:34:57 +0200] "GET /css/widgets/concat_widget.min.css?v=7.2.44561 HTTP/1.1" 200 22437
46.126.195.62 - - [26/Aug/2019:17:34:57 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
46.126.195.62 - - [26/Aug/2019:17:34:57 +0200] "GET /js/bundles/front_bundle.min.js?v=7.2.44561 HTTP/1.1" 200 46210
46.126.195.62 - - [26/Aug/2019:17:34:57 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
46.126.195.62 - - [26/Aug/2019:17:35:24 +0200] "GET /pruefungskurs HTTP/1.1" 200 6090
46.126.195.62 - - [26/Aug/2019:17:35:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
46.126.195.62 - - [26/Aug/2019:17:35:24 +0200] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
46.126.195.62 - - [26/Aug/2019:17:35:25 +0200] "GET /templates/resellers/7/favicon.ico?v=1566156170 HTTP/1.1" 200 4286
178.137.95.206 - - [26/Aug/2019:17:35:51 +0200] "GET / HTTP/1.1" 301 617
178.137.95.206 - - [26/Aug/2019:17:35:52 +0200] "GET / HTTP/1.1" 301 617
178.137.95.206 - - [26/Aug/2019:17:36:19 +0200] "GET / HTTP/1.1" 301 617
157.55.39.220 - - [26/Aug/2019:17:44:40 +0200] "GET /index.php?option=com_content&task=view&id=48&Itemid=115 HTTP/1.1" 301 617
216.244.66.248 - - [26/Aug/2019:17:45:52 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [26/Aug/2019:17:46:21 +0200] "GET /robots.txt HTTP/1.1" 301 617
123.125.71.106 - - [26/Aug/2019:17:48:11 +0200] "GET /templates/resellers/7/favicon.ico?v=1498505839 HTTP/1.1" 301 617
123.125.71.76 - - [26/Aug/2019:17:48:11 +0200] "GET /templates/resellers/7/favicon.ico?v=1498505839 HTTP/1.1" 200 4286
