54.36.148.71 - - [02/Oct/2019:03:04:27 +0200] "GET /var/m_0/0d/0dd/12455/143515-G2_Optikurs2014_10.jpg HTTP/1.1" 200 143970
216.244.66.248 - - [02/Oct/2019:03:26:09 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:03:26:10 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:03:26:11 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [02/Oct/2019:03:26:11 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.113 - - [02/Oct/2019:03:39:46 +0200] "GET /ssl.shtml HTTP/1.1" 200 8130
157.55.39.113 - - [02/Oct/2019:03:39:47 +0200] "GET /event-matchracing.shtml HTTP/1.1" 200 6572
216.244.66.248 - - [02/Oct/2019:03:46:34 +0200] "GET /var/m_0/0d/0dd/12455/6564721-G3_SKT2015_48.jpg HTTP/1.1" 200 99100
216.244.66.248 - - [02/Oct/2019:03:46:39 +0200] "GET /var/m_0/0d/0dd/12455/6564731-G3_SKT2015_57.jpg HTTP/1.1" 200 84129
173.208.200.154 - - [02/Oct/2019:03:48:09 +0200] "GET /robots.txt HTTP/1.1" 200 120
173.208.200.154 - - [02/Oct/2019:03:48:10 +0200] "GET / HTTP/1.1" 200 6832
157.55.39.91 - - [02/Oct/2019:03:50:52 +0200] "GET /aktuelles-wetter HTTP/1.1" 200 5500
216.244.66.248 - - [02/Oct/2019:04:13:11 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:04:13:13 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.79.11 - - [02/Oct/2019:04:28:39 +0200] "GET /robots.txt HTTP/1.1" 200 120
77.75.79.11 - - [02/Oct/2019:04:28:40 +0200] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 5480
216.244.66.248 - - [02/Oct/2019:05:01:03 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:05:01:03 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:05:01:05 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [02/Oct/2019:05:01:05 +0200] "GET /robots.txt HTTP/1.1" 200 120
54.36.150.35 - - [02/Oct/2019:05:17:57 +0200] "GET /kursanmeldung.shtml HTTP/1.1" 200 12536
216.244.66.248 - - [02/Oct/2019:05:33:14 +0200] "GET /var/m_0/0d/0dd/12455/143485-G1_SKT2014_09.JPG HTTP/1.1" 200 117355
216.244.66.248 - - [02/Oct/2019:05:50:12 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:05:50:13 +0200] "GET /robots.txt HTTP/1.1" 301 617
216.244.66.248 - - [02/Oct/2019:05:50:14 +0200] "GET /robots.txt HTTP/1.1" 200 120
216.244.66.248 - - [02/Oct/2019:05:50:15 +0200] "GET /robots.txt HTTP/1.1" 200 120
