40.77.167.138 - - [09/Dec/2019:15:22:40 +0100] "GET /index.php?option=com_content&task=view&id=48&Itemid=115 HTTP/1.1" 301 617
216.244.66.248 - - [09/Dec/2019:15:40:07 +0100] "GET /gallery/addfav.php?pid=157&ref=displayimage.php%3Falbum%3Dtopn%26cat%3D-4%26pos%3D11 HTTP/1.1" 404 216
46.119.163.134 - - [09/Dec/2019:16:01:24 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 301 617
46.119.163.134 - - [09/Dec/2019:16:01:24 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 301 617
46.119.163.134 - - [09/Dec/2019:16:01:24 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 301 617
46.229.168.130 - - [09/Dec/2019:16:45:05 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.229.168.143 - - [09/Dec/2019:16:45:05 +0100] "GET /aktuelles-wetter HTTP/1.1" 200 5483
46.229.168.163 - - [09/Dec/2019:16:45:07 +0100] "GET /sitemap.xml HTTP/1.1" 200 0
95.216.96.243 - - [09/Dec/2019:16:54:17 +0100] "GET /robots.txt HTTP/1.1" 301 617
95.216.96.243 - - [09/Dec/2019:16:54:26 +0100] "GET / HTTP/1.1" 301 617
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1622
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 585
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
80.251.178.106 - - [09/Dec/2019:17:01:34 +0100] "GET / HTTP/1.1" 200 6708
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /css/widgets/concat_widget.min.css?v=7.3.44735 HTTP/1.1" 200 22483
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3291
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/125492-12_Galerie.jpg HTTP/1.1" 200 34896
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
80.251.178.106 - - [09/Dec/2019:17:01:35 +0100] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 733
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
80.251.178.106 - - [09/Dec/2019:17:01:42 +0100] "GET /js/bundles/front_bundle.min.js?v=7.3.44735 HTTP/1.1" 200 46257
46.119.183.152 - - [09/Dec/2019:17:17:42 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 301 617
46.119.183.152 - - [09/Dec/2019:17:17:49 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 301 617
46.119.183.152 - - [09/Dec/2019:17:17:49 +0100] "GET /segelkurs-jollesmartkat/ HTTP/1.1" 301 617
178.154.171.5 - - [09/Dec/2019:17:20:35 +0100] "GET /robots.txt HTTP/1.1" 200 120
37.9.113.206 - - [09/Dec/2019:17:20:46 +0100] "GET /favicon.ico HTTP/1.1" 200 1150
54.36.150.42 - - [09/Dec/2019:17:22:47 +0100] "GET /galerie HTTP/1.1" 301 617
157.55.39.13 - - [09/Dec/2019:17:40:53 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.13 - - [09/Dec/2019:17:40:54 +0100] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.102 - - [09/Dec/2019:17:40:55 +0100] "GET /vermietung HTTP/1.1" 200 6147
40.77.167.24 - - [09/Dec/2019:17:41:26 +0100] "GET /js/bundles/front_bundle.min.js?v=7.3.44735 HTTP/1.1" 200 56721
40.77.167.24 - - [09/Dec/2019:17:41:26 +0100] "GET /css/widgets/concat_widget.min.css?v=7.3.44735 HTTP/1.1" 200 31304
40.77.167.24 - - [09/Dec/2019:17:41:33 +0100] "GET /css/skeleton.css HTTP/1.1" 200 4100
207.46.13.103 - - [09/Dec/2019:17:41:46 +0100] "GET /robots.txt HTTP/1.1" 301 617
207.46.13.103 - - [09/Dec/2019:17:41:47 +0100] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.103 - - [09/Dec/2019:17:41:48 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 2144
207.46.13.103 - - [09/Dec/2019:17:41:50 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 710
207.46.13.102 - - [09/Dec/2019:17:43:31 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 2066
159.138.128.143 - - [09/Dec/2019:17:53:03 +0100] "GET / HTTP/1.1" 200 7890
