66.249.66.156 - - [07/Feb/2020:15:06:26 +0100] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 304 0
216.244.66.248 - - [07/Feb/2020:15:10:00 +0100] "GET /gallery/displayimage.php?album=toprated&cat=0&pid=122&slideshow=5000 HTTP/1.1" 404 222
216.244.66.248 - - [07/Feb/2020:15:10:09 +0100] "GET /gallery/displayimage.php?album=toprated&cat=0&pid=81&slideshow=5000 HTTP/1.1" 404 222
87.245.112.67 - - [07/Feb/2020:15:13:13 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 5347
40.77.167.144 - - [07/Feb/2020:15:25:39 +0100] "GET /segel-grundkurs HTTP/1.1" 200 6034
34.90.206.227 - - [07/Feb/2020:15:28:52 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/tab_r_bottom.png HTTP/1.1" 200 1803
54.36.148.207 - - [07/Feb/2020:15:40:48 +0100] "GET /robots.txt HTTP/1.1" 200 120
54.36.148.207 - - [07/Feb/2020:15:40:48 +0100] "GET /robots.txt HTTP/1.1" 301 705
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET / HTTP/1.1" 301 705
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/125492-12_Galerie.jpg HTTP/1.1" 200 34896
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/9777011-Corsaire_Titel19_1-c20ad.jpg HTTP/1.1" 200 136419
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/125493-13_Kurse.JPG HTTP/1.1" 200 70517
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/8883665-sp_dk.jpg HTTP/1.1" 200 48853
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/8883683-sp_lemm.jpg HTTP/1.1" 200 18873
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET / HTTP/1.1" 200 6650
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1620
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3301
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 587
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/9114401-g6_SSL_Davos2017_16.jpg HTTP/1.1" 200 117505
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /js/bundles/front_bundle.min.js?v=7.3.44735 HTTP/1.1" 200 46898
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/125494-14_Vermietung.JPG HTTP/1.1" 200 95115
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/8883620-logo_homepage_bootspruefung24_big.png HTTP/1.1" 200 7633
51.77.129.167 - - [07/Feb/2020:15:50:45 +0100] "GET /var/m_0/0d/0dd/12455/8883668-sp_heierling.jpg HTTP/1.1" 200 21582
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /css/widgets/concat_widget.min.css?v=7.3.44735 HTTP/1.1" 200 22483
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 724
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /var/m_0/0d/0dd/12455/9114323-G3_SKT2018_08.jpg HTTP/1.1" 200 194476
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /var/m_0/0d/0dd/12455/7230972-19_Matchracing.jpg HTTP/1.1" 200 55347
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /var/m_0/0d/0dd/12455/125495-15_Event.JPG HTTP/1.1" 200 59088
51.77.129.167 - - [07/Feb/2020:15:50:51 +0100] "GET /var/m_0/0d/0dd/12455/8883686-sp_ewd.jpg HTTP/1.1" 200 53963
216.244.66.248 - - [07/Feb/2020:15:52:15 +0100] "GET /gallery/displayimage.php?album=topn&cat=-4&pid=119&slideshow=5000 HTTP/1.1" 404 222
54.36.150.49 - - [07/Feb/2020:16:30:02 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 301 705
54.36.148.116 - - [07/Feb/2020:16:32:49 +0100] "GET /var/m_0/0d/0dd/12455/143514-G2_Optikurs2014_09.jpg HTTP/1.1" 301 705
216.244.66.248 - - [07/Feb/2020:16:46:46 +0100] "GET /gallery/login.php?referer=login.php%3Freferer%3Ddisplayimage.php%253Falbum%253Dlastupby%2526cat%253D0%2526pos%253D71%2526uid%253D1 HTTP/1.1" 404 215
216.244.66.248 - - [07/Feb/2020:16:46:51 +0100] "GET /gallery/login.php?referer=login.php%3Freferer%3Ddisplayimage.php%253Falbum%253Dlastupby%2526cat%253D0%2526pos%253D79%2526uid%253D1 HTTP/1.1" 404 215
159.138.149.14 - - [07/Feb/2020:16:58:24 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 200 5999
157.55.39.15 - - [07/Feb/2020:17:13:15 +0100] "GET /robots.txt HTTP/1.1" 301 705
157.55.39.15 - - [07/Feb/2020:17:13:22 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.169 - - [07/Feb/2020:17:13:24 +0100] "GET / HTTP/1.1" 200 7743
62.202.180.190 - - [07/Feb/2020:17:20:51 +0100] "GET /davosersee HTTP/1.1" 200 5654
62.202.180.190 - - [07/Feb/2020:17:20:51 +0100] "GET /css/widgets/concat_widget.min.css?v=7.3.44735 HTTP/1.1" 200 22544
62.202.180.190 - - [07/Feb/2020:17:20:51 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/style.min.css?v=1519138530 HTTP/1.1" 200 724
62.202.180.190 - - [07/Feb/2020:17:20:51 +0100] "GET /css/skeleton.css HTTP/1.1" 200 3301
62.202.180.190 - - [07/Feb/2020:17:20:51 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/slide.js?v=1519138530 HTTP/1.1" 200 587
62.202.180.190 - - [07/Feb/2020:17:20:52 +0100] "GET /js/bundles/front_bundle.min.js?v=7.3.44735 HTTP/1.1" 200 46898
62.202.180.190 - - [07/Feb/2020:17:20:52 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/respond.min.js?v=1519138530 HTTP/1.1" 200 1902
62.202.180.190 - - [07/Feb/2020:17:20:52 +0100] "GET /var/m_0/0d/0dd/12455/126126-43_See.JPG HTTP/1.1" 200 86511
62.202.180.190 - - [07/Feb/2020:17:20:57 +0100] "GET /davosersee HTTP/1.1" 200 0
62.202.180.190 - - [07/Feb/2020:17:20:57 +0100] "GET /templates/creator/m_f/fa/fa7/164/css/main.min.css?v=1519138530 HTTP/1.1" 200 1620
62.202.180.190 - - [07/Feb/2020:17:20:57 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/wp-menu.js?v=1519138530 HTTP/1.1" 200 959
62.202.180.190 - - [07/Feb/2020:17:20:57 +0100] "GET /var/m_0/0d/0dd/12455/143352-Header_Segelschule_2.jpg HTTP/1.1" 200 107532
62.202.180.190 - - [07/Feb/2020:17:20:59 +0100] "GET /templates/resellers/7/favicon.ico?v=1571764389 HTTP/1.1" 200 4286
54.36.148.67 - - [07/Feb/2020:17:23:52 +0100] "GET /var/m_0/0d/0dd/12455/7230908-G5_Matchracing_05.jpg HTTP/1.1" 301 705
157.55.39.76 - - [07/Feb/2020:17:24:25 +0100] "GET / HTTP/1.1" 301 705
107.6.169.250 - - [07/Feb/2020:17:24:38 +0100] "GET / HTTP/1.1" 301 705
107.6.169.250 - - [07/Feb/2020:17:24:38 +0100] "GET / HTTP/1.1" 200 7743
34.90.240.62 - - [07/Feb/2020:17:34:41 +0100] "GET /templates/creator/m_f/fa/fa7/164/assets/mail_icon.png HTTP/1.1" 200 3128
157.55.39.169 - - [07/Feb/2020:17:40:44 +0100] "GET /ssl.shtml HTTP/1.1" 200 8028
