216.244.66.248 - - [25/Mar/2020:18:01:45 +0100] "GET /gallery/login.php?referer=thumbnails.php%3Falbum%3Dtopn%26cat%3D0%26page%3D2 HTTP/1.1" 404 215
34.65.57.89 - - [25/Mar/2020:18:15:37 +0100] "GET /robots.txt HTTP/1.1" 200 120
34.65.57.89 - - [25/Mar/2020:18:15:37 +0100] "GET /events.shtml HTTP/1.1" 200 6211
138.246.253.15 - - [25/Mar/2020:18:17:40 +0100] "HEAD / HTTP/1.1" 403 0
34.65.57.89 - - [25/Mar/2020:18:19:40 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 12552
34.65.57.89 - - [25/Mar/2020:18:20:57 +0100] "GET /davosersee.shtml HTTP/1.1" 200 6293
34.65.57.89 - - [25/Mar/2020:18:21:36 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 6003
34.65.57.89 - - [25/Mar/2020:18:22:21 +0100] "GET /flotte.shtml HTTP/1.1" 200 7291
114.119.163.84 - - [25/Mar/2020:18:23:18 +0100] "GET /davosersee HTTP/1.1" 200 6299
34.65.57.89 - - [25/Mar/2020:18:23:41 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 6610
34.65.57.89 - - [25/Mar/2020:18:23:51 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 6061
34.65.57.89 - - [25/Mar/2020:18:24:02 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 5963
34.65.57.89 - - [25/Mar/2020:18:24:12 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 5583
34.65.57.89 - - [25/Mar/2020:18:24:22 +0100] "GET /vermietung.shtml HTTP/1.1" 200 6018
207.46.13.23 - - [25/Mar/2020:18:29:02 +0100] "GET / HTTP/1.1" 301 705
114.119.160.221 - - [25/Mar/2020:18:31:09 +0100] "GET /segel-grundkurs HTTP/1.1" 200 6065
54.36.150.101 - - [25/Mar/2020:18:39:02 +0100] "GET /events HTTP/1.1" 200 5467
54.191.14.241 - - [25/Mar/2020:18:45:57 +0100] "GET / HTTP/1.1" 301 705
54.191.14.241 - - [25/Mar/2020:18:45:59 +0100] "GET / HTTP/1.1" 200 7784
157.55.39.27 - - [25/Mar/2020:18:49:50 +0100] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.27 - - [25/Mar/2020:18:50:47 +0100] "GET /robots.txt HTTP/1.1" 200 120
207.46.13.23 - - [25/Mar/2020:18:50:53 +0100] "GET /var/m_0/0d/0dd/12455/7230906-G5_Matchracing_03.jpg HTTP/1.1" 200 69934
139.196.233.108 - - [25/Mar/2020:18:55:23 +0100] "GET /temp/license.txt HTTP/1.1" 301 706
139.196.233.108 - - [25/Mar/2020:18:55:24 +0100] "GET /temp/license.txt HTTP/1.1" 404 5177
54.36.150.138 - - [25/Mar/2020:19:08:23 +0100] "GET /segelkurs-jollesmartkat HTTP/1.1" 301 705
54.36.148.255 - - [25/Mar/2020:19:23:50 +0100] "GET / HTTP/1.1" 200 6675
17.58.97.16 - - [25/Mar/2020:19:29:53 +0100] "GET /standort.shtml HTTP/1.1" 200 6427
40.77.167.82 - - [25/Mar/2020:19:34:47 +0100] "GET /var/m_0/0d/0dd/12455/6564691-G3_SKT2015_21.jpg HTTP/1.1" 200 121870
114.119.163.10 - - [25/Mar/2020:19:35:12 +0100] "GET /robots.txt HTTP/1.1" 200 120
46.118.122.247 - - [25/Mar/2020:19:40:44 +0100] "GET / HTTP/1.1" 301 706
46.118.122.247 - - [25/Mar/2020:19:40:44 +0100] "GET / HTTP/1.1" 301 706
46.118.122.247 - - [25/Mar/2020:19:40:45 +0100] "GET / HTTP/1.1" 301 706
46.118.122.247 - - [25/Mar/2020:19:40:45 +0100] "GET / HTTP/1.1" 301 706
46.118.122.247 - - [25/Mar/2020:19:40:45 +0100] "GET / HTTP/1.1" 301 706
46.118.122.247 - - [25/Mar/2020:19:41:40 +0100] "GET / HTTP/1.1" 301 705
46.118.122.247 - - [25/Mar/2020:19:41:40 +0100] "GET / HTTP/1.1" 301 705
46.118.122.247 - - [25/Mar/2020:19:41:41 +0100] "GET / HTTP/1.1" 301 705
46.118.122.247 - - [25/Mar/2020:19:41:41 +0100] "GET / HTTP/1.1" 301 705
46.118.122.247 - - [25/Mar/2020:19:41:42 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:53:02 +0100] "GET / HTTP/1.1" 301 706
46.119.124.13 - - [25/Mar/2020:19:53:03 +0100] "GET / HTTP/1.1" 301 706
46.119.124.13 - - [25/Mar/2020:19:53:58 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:53:58 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:53:59 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:53:59 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:54:00 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:54:00 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:54:00 +0100] "GET / HTTP/1.1" 301 705
46.119.124.13 - - [25/Mar/2020:19:54:01 +0100] "GET / HTTP/1.1" 301 705
193.138.213.208 - - [25/Mar/2020:19:58:17 +0100] "GET /robots.txt HTTP/1.1" 200 120
193.138.213.208 - - [25/Mar/2020:19:58:18 +0100] "GET / HTTP/1.1" 200 37921
193.138.213.208 - - [25/Mar/2020:19:58:18 +0100] "GET /var/m_0/0d/0dd/12455/143351-Header_Segelschule.jpg HTTP/1.1" 200 107532
193.138.213.208 - - [25/Mar/2020:19:58:19 +0100] "GET /flotte.shtml HTTP/1.1" 200 30219
193.138.213.208 - - [25/Mar/2020:19:58:25 +0100] "GET /segel-grundkurs.shtml HTTP/1.1" 200 20539
193.138.213.208 - - [25/Mar/2020:19:58:30 +0100] "GET /segelkurs-jollesmartkat.shtml HTTP/1.1" 200 20468
193.138.213.208 - - [25/Mar/2020:19:58:32 +0100] "GET /event-gruppesmartkat.shtml HTTP/1.1" 200 21774
193.138.213.208 - - [25/Mar/2020:19:58:38 +0100] "GET /galerie-matchracing.shtml HTTP/1.1" 200 22354
193.138.213.208 - - [25/Mar/2020:19:58:40 +0100] "GET /optikurse-2014.shtml HTTP/1.1" 200 27223
193.138.213.208 - - [25/Mar/2020:19:58:42 +0100] "GET /standort.shtml HTTP/1.1" 200 22197
193.138.213.208 - - [25/Mar/2020:19:58:43 +0100] "GET /aktuelles-wetter.shtml HTTP/1.1" 200 19432
193.138.213.208 - - [25/Mar/2020:19:59:17 +0100] "GET /kinder-segelkurs.shtml HTTP/1.1" 200 20824
193.138.213.208 - - [25/Mar/2020:19:59:18 +0100] "GET /davosersee.shtml HTTP/1.1" 200 20466
193.138.213.208 - - [25/Mar/2020:19:59:19 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 50452
193.138.213.208 - - [25/Mar/2020:19:59:20 +0100] "GET /smartkat-crashkurs.shtml HTTP/1.1" 200 18825
193.138.213.208 - - [25/Mar/2020:19:59:22 +0100] "GET /kurse.shtml HTTP/1.1" 200 32003
193.138.213.208 - - [25/Mar/2020:19:59:24 +0100] "GET /events.shtml HTTP/1.1" 200 23438
193.138.213.208 - - [25/Mar/2020:19:59:25 +0100] "GET /vermietung.shtml HTTP/1.1" 200 26656
193.138.213.208 - - [25/Mar/2020:19:59:27 +0100] "GET /pruefungskurs.shtml HTTP/1.1" 200 22127
193.138.213.208 - - [25/Mar/2020:19:59:29 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 21769
193.138.213.208 - - [25/Mar/2020:19:59:30 +0100] "GET /event-pedalo.shtml HTTP/1.1" 200 20741
193.138.213.208 - - [25/Mar/2020:19:59:31 +0100] "GET /smartkattrophy.shtml HTTP/1.1" 200 91431
193.138.213.208 - - [25/Mar/2020:19:59:33 +0100] "GET /regatten.shtml HTTP/1.1" 200 38653
193.138.213.208 - - [25/Mar/2020:19:59:35 +0100] "GET /galerie-gruppesmartkat.shtml HTTP/1.1" 200 21158
193.138.213.208 - - [25/Mar/2020:19:59:37 +0100] "GET /%C3%BCber-uns.shtml HTTP/1.1" 200 23137
193.138.213.208 - - [25/Mar/2020:19:59:40 +0100] "GET /fbcorsaire2019 HTTP/1.1" 404 19165
17.58.97.16 - - [25/Mar/2020:20:07:51 +0100] "GET /event-matchracing.shtml HTTP/1.1" 200 6426
17.58.97.16 - - [25/Mar/2020:20:12:32 +0100] "GET / HTTP/1.1" 200 7784
47.240.110.147 - - [25/Mar/2020:20:15:07 +0100] "GET /xmlrpc.php HTTP/1.1" 404 5179
17.58.97.16 - - [25/Mar/2020:20:33:10 +0100] "GET /kursanmeldung.shtml HTTP/1.1" 200 12552
10.179.3.13 - - [25/Mar/2020:20:51:53 +0100] "GET /robots.txt HTTP/1.1" 301 705
114.119.161.86 - - [25/Mar/2020:20:51:54 +0100] "GET /robots.txt HTTP/1.1" 200 120
