138.246.253.15 - - [15/Apr/2020:00:00:02 +0200] "HEAD / HTTP/1.1" 403 0
17.58.97.16 - - [15/Apr/2020:00:11:51 +0200] "GET /event-gruppesmartkat HTTP/1.1" 200 6466
157.55.39.3 - - [15/Apr/2020:00:20:22 +0200] "GET /var/m_0/0d/0dd/12455/9114317-G3_SKT2018_06.jpg HTTP/1.1" 200 156727
157.55.39.19 - - [15/Apr/2020:00:20:22 +0200] "GET /robots.txt HTTP/1.1" 200 120
157.55.39.19 - - [15/Apr/2020:00:20:23 +0200] "GET /robots.txt HTTP/1.1" 200 120
40.77.167.3 - - [15/Apr/2020:00:24:59 +0200] "GET / HTTP/1.1" 301 705
157.55.39.3 - - [15/Apr/2020:00:34:23 +0200] "GET /galerie-sktrophy-2015.shtml HTTP/1.1" 301 705
40.77.167.145 - - [15/Apr/2020:00:39:47 +0200] "GET /var/m_0/0d/0dd/12455/6564669-G3_SKT2015_03.jpg HTTP/1.1" 200 114866
78.46.37.41 - - [15/Apr/2020:00:47:50 +0200] "GET / HTTP/1.1" 301 706
78.46.37.41 - - [15/Apr/2020:00:48:38 +0200] "GET / HTTP/1.1" 200 37921
157.55.39.255 - - [15/Apr/2020:00:57:31 +0200] "GET /%c3%bcber-uns HTTP/1.1" 200 5701
40.77.167.3 - - [15/Apr/2020:01:13:05 +0200] "GET / HTTP/1.1" 301 705
157.55.39.255 - - [15/Apr/2020:01:19:57 +0200] "GET /smartkat-crashkurs HTTP/1.1" 200 5587
37.115.196.177 - - [15/Apr/2020:01:23:17 +0200] "GET / HTTP/1.1" 301 706
37.115.196.177 - - [15/Apr/2020:01:24:05 +0200] "GET / HTTP/1.1" 301 705
37.115.196.177 - - [15/Apr/2020:01:24:05 +0200] "GET / HTTP/1.1" 301 705
40.77.167.3 - - [15/Apr/2020:01:59:02 +0200] "GET /var/m_0/0d/0dd/12455/6564725-G3_SKT2015_52.jpg HTTP/1.1" 200 139147
54.36.150.191 - - [15/Apr/2020:02:11:58 +0200] "GET /standort.shtml HTTP/1.1" 301 706
35.210.98.204 - - [15/Apr/2020:02:32:39 +0200] "GET /robots.txt HTTP/1.1" 200 120
35.210.98.204 - - [15/Apr/2020:02:33:24 +0200] "GET /robots.txt HTTP/1.1" 301 705
35.210.98.204 - - [15/Apr/2020:02:33:27 +0200] "GET / HTTP/1.1" 301 705
35.210.98.204 - - [15/Apr/2020:02:33:29 +0200] "GET / HTTP/1.1" 200 7778
